date,state,name,code,cases,deaths
2020-11-03,TO,Taguatinga,172090,0,4
2020-07-07,TO,Nova Rosalandia,171500,0,0
2020-09-07,TO,Santa Rosa Do Tocantins,171890,0,0
2020-06-23,SP,Santa Clara D'Oeste,354610,1,0
2020-07-07,TO,Sao Sebastiao Do Tocantins,172030,0,0
2020-11-21,SP,Turiuba,355520,0,1
2020-06-06,SP,Sao Joao Das Duas Pontes,354920,0,1
2020-08-30,TO,Babaculandia,170300,0,2
2020-09-26,TO,Gurupi,170950,38,45
2020-04-12,SP,Torre De Pedra,355465,0,0
2020-09-16,TO,Juarina,171180,1,1
2020-06-17,TO,Babaculandia,170300,2,0
2020-11-22,SP,Tuiuti,355495,0,1
2020-12-01,SP,Vinhedo,355670,30,42
2020-12-08,TO,Monte Do Carmo,171360,1,1
2020-04-16,TO,Novo Acordo,171510,0,0
2020-11-28,SP,Urania,355580,9,13
2020-08-08,TO,Ananas,170100,1,3
2020-10-23,SP,Varzea Paulista,355650,8,72
2020-12-06,SP,Colina,351200,0,16
2020-08-14,SP,Santo Expedito,354830,0,0
2020-08-27,TO,Luzinopolis,171245,8,2
2020-06-26,TO,Itapiratins,171090,0,0
2020-06-01,SP,Taquaral,355365,0,0
2020-04-14,SP,Tiete,355450,0,0
2020-06-17,SP,Torre De Pedra,355465,0,2
2020-07-19,TO,Angico,170105,0,0
2020-05-23,TO,Pindorama Do Tocantins,171700,0,0
2020-07-01,TO,Goianorte,170830,0,0
2020-05-31,TO,Riachinho,171855,0,0
2020-05-18,TO,Sandolandia,171884,0,0
2020-06-16,TO,Brejinho De Nazare,170370,0,0
2020-11-25,TO,Xambioa,172210,1,15
2020-05-23,SP,Sandovalina,354550,0,0
2020-09-23,TO,Itaguatins,171070,0,2
2020-11-07,TO,Nova Rosalandia,171500,0,4
2020-05-07,SP,Motuca,353205,0,0
2020-09-07,SP,Santana De Parnaiba,354730,1,89
2020-06-29,TO,Sao Sebastiao Do Tocantins,172030,0,0
2020-07-25,TO,Colmeia,171670,-1,0
2020-11-21,TO,Itacaja,171050,0,7
2020-10-23,SP,Uchoa,355560,0,9
2020-07-16,TO,Xambioa,172210,5,7
2020-06-29,TO,Pindorama Do Tocantins,171700,0,0
2020-06-09,TO,Tupiratins,172130,0,0
2020-04-21,SP,Tambau,355330,0,0
2020-11-06,SP,Ribeirao Preto,354340,0,863
2020-10-15,SP,Varzea Paulista,355650,0,72
2020-06-19,TO,Porto Nacional,171820,18,3
2020-04-25,TO,Jau Do Tocantins,171150,0,0
2020-10-26,TO,Tupiratins,172130,0,0
2020-05-21,TO,Oliveira De Fatima,171550,0,0
2020-08-22,SP,Serrana,355150,4,33
2020-04-06,TO,Chapada Da Natividade,170510,0,0
2020-08-01,TO,Sao Miguel Do Tocantins,172020,0,6
2020-05-08,TO,Porto Alegre Do Tocantins,171800,0,0
2020-09-05,TO,Rio Dos Bois,171870,0,0
2020-07-20,SP,Paulistania,353657,0,0
2020-04-02,TO,Wanderlandia,172208,0,0
2020-09-03,TO,Praia Norte,171830,0,2
2020-09-08,TO,Taguatinga,172090,0,3
2020-08-20,TO,Bandeirantes Do Tocantins,170305,-1,1
2020-07-16,SP,Vera Cruz,355660,0,1
2020-09-17,SP,Ubirajara,355550,0,1
2020-05-29,SP,Valinhos,355620,9,5
2020-09-28,SP,Sao Carlos,354890,0,43
2020-06-30,TO,Sao Felix Do Tocantins,172015,0,0
2020-11-07,TO,Rio Sono,171875,0,1
2020-07-02,TO,Sitio Novo Do Tocantins,172080,3,4
2020-06-27,SP,Conchal,351220,0,0
2020-08-02,TO,Bandeirantes Do Tocantins,170305,0,1
2020-06-10,TO,Taipas Do Tocantins,172093,0,0
2020-10-21,TO,Sao Valerio,172049,0,0
2020-11-01,TO,Porto Alegre Do Tocantins,171800,0,0
2020-03-28,TO,Wanderlandia,172208,0,0
2020-08-09,SP,Suzano,355250,25,171
2020-06-27,SP,Sao Jose Do Rio Pardo,354970,5,4
2020-08-20,SE,Riachao Do Dantas,280580,5,17
2020-04-08,TO,Itapora Do Tocantins,171110,0,0
2020-04-08,TO,Lajeado,171200,0,0
2020-11-18,TO,Parana,171620,0,2
2020-08-15,TO,Dianopolis,170700,3,5
2020-05-14,SP,Viradouro,355680,0,1
2020-10-16,TO,Monte Do Carmo,171360,0,1
2020-08-15,TO,Peixe,171660,0,2
2020-06-14,SP,Sao Joao Das Duas Pontes,354920,1,1
2020-06-28,TO,Peixe,171660,0,0
2020-08-17,TO,Riachinho,171855,0,0
2020-09-03,TO,Augustinopolis,170255,2,7
2020-08-29,TO,Sao Felix Do Tocantins,172015,0,0
2020-05-10,TO,Lizarda,171240,0,1
2020-06-21,TO,Cachoeirinha,170382,0,0
2020-11-01,TO,Taguatinga,172090,0,3
2020-07-23,TO,Santa Maria Do Tocantins,171888,2,0
2020-04-04,SP,Salto Grande,354540,0,0
2020-11-01,SP,Sao Jose Dos Campos,354990,16,465
2020-11-13,SP,Sorocaba,355220,56,457
2020-09-24,TO,Nova Olinda,171488,5,16
2020-09-10,SP,Tabapua,355260,4,13
2020-04-22,SP,Monte Azul Paulista,353150,0,0
2020-04-20,TO,Santa Terezinha Do Tocantins,172000,0,0
2020-11-07,TO,Pugmil,171845,0,0
2020-11-16,SP,Torrinha,355470,0,6
2020-04-25,SP,Pirajui,353890,0,0
2020-05-10,SP,Sao Pedro,355040,0,0
2020-04-26,TO,Sao Felix Do Tocantins,172015,0,0
2020-04-22,TO,Sao Salvador Do Tocantins,172025,0,0
2020-04-25,TO,Porto Nacional,171820,0,0
2020-04-10,TO,Itapora Do Tocantins,171110,0,0
2020-09-11,SP,Ribeirao Do Sul,354320,0,1
2020-07-15,SP,Sao Francisco,354900,0,0
2020-04-16,SP,Glicerio,351710,0,0
2020-09-02,SP,Restinga,354270,1,0
2020-05-31,SP,Tres Fronteiras,355490,0,0
2020-10-15,TO,Tabocao,170825,0,3
2020-09-09,SP,Zacarias,355715,4,1
2020-07-24,TO,Wanderlandia,172208,0,4
